Palabra;Pronun;Significado;id
cry ;kraɪ ;llorar ;1536
cup;(cap)  ;	Taza;180
current;(cárrent)  ;	Corriente;181
curtain;(quéeRtEn)  ;	Cortina;182
curve;(curving-d)  (queeRv) ;	Curva;183
cushion;(cúSHon)  ;	Cojín, almohadilla;184
cut;(cat)  ;	Cortadura;185
cut ;kʌt ;corte ;1537
damage;(damia@)  (dami-y) ;	Daño, perjuicio;186
dance;dæns;bailar;1037
danger;(déinyeR)  ;	Peligro;187
dark;(daaRk)  ;	Oscuro, oscuridad;188
dark ;dɑrk ;oscuro ;1538
daughter;(dóoteR)  ;	Hija;189
day;(dei)  ;	Dia;190
day ;deɪ ;día ;1539
dead;(ded)  ;	Muerto;191
deal;dil;trato;1038
dear;(diaR)  ;	Querido, caro;192
death;(dez)  ;	Muerte;193
debt;(det)  ;	Deuda;194
december;(disémbeR)  ;	Diciembre;195
decide ;ˌdɪˈsaɪd ;decidir ;1540
decided;ˌdɪˈsaɪdɪd;decidido;1039
decimal;ˈdɛsəməl;decimal;1040
decision;(disíSHon)  ;	Decisión;196
deep;(diip)  ;	Profundo, hondo, intenso;197
deep ;dip ;profundo ;1541
degree;(digríi)  ;	Grado;198
delicate;(déliquet)  ;	Delicado;199
dependent;(dipéndent)  ;	Dependiente, subalterno;200
describe;dɪˈskraɪb;describir;1041
desert;ˈdɛzɜrt;desierto;1042
design;(er-ing-ed)  (dizaín) ;	Diseño, dibujo ;201
desire;(desiring-d)  (dizáieR) ;	Deseo;202
destruction;(distrák-SHn)  ;	Destrucción, ruina ;203
detail;(ing-ed)  (ditéil) ;	Detalle;204
details;dɪˈteɪlz;detalles;1043
determine;dəˈtɜrmən;determinar;1044
develop ;dɪˈvɛləp ;desarrollar ;1542
developed;dɪˈvɛləpt;desarrollado;1045
development;(divélopmEnt)  ;	Desarrollo;205
dictionary;ˈdɪkʃəˌnɛri;diccionario;1046
did;dɪd;hizo;1047
did ;dɪd ;hizo ;1543
didn’t;ˈdɪdənt;no;1048
died;daɪd;fallecido;1049
differ ;ˈdɪfər ;diferir ;1544
difference;ˈdɪfərəns;diferencia;1050
different;(diferEnt)  ;	Diferente, diverso;206
difficult;ˈdɪfəkəlt;difícil;1051
digestion;(diyés-Shon)  ;	Digestión;207
dillars;dillars;dólares;1052
direct;dəˈrɛkt;directo;1053
direct ;dəˈrɛkt ;directo ;1545
direction;(dirék-Shon)  ;	Dirección;208
dirty;(deeRti)  ;	Sucio;209
discovered;dɪˈskʌvərd;descubierto;1054
discovery;(dis-cáveri)  ;	Descubriniento;210
discussion;(dis-cáSHon)  ;	Discusión;211
disease;(dizíiz)  ;	Enfermedad;212
disgust;(in-ed) ( disgást) ;	Disgusto, enojo, adversión ;213
distance;(distans)  ;	Distancia;214
distribution;(distri-biúuSHon)  ;	Distribución ;215
divided;dɪˈvaɪdəd;dividido;1055
division;(divíSHon)  ;	División;216
do;(duu)  ;	Hacer, ejecutar,obrar;217
doctor;ˈdɑktər;doctor;1056
does;dʌz;hace;1057
doesn’t;ˈdʌzənt;no;1058
dog;(dog)  ;	Perro;218
dog ;dɔɡ ;perro ;1546
don’t;doʊnt;no;1059
done;dʌn;hecho;1060
done ;dʌn ;hecho ;1547
door;(dooR)  ;	Puerta;219
door ;dɔr ;puerta ;1548
doubt;(ing-ed)  (daut) ;	Duda;220
down;(daun)  ;	Abajo, en la parte inferior;221
down ;daʊn ;abajo ;1549
drain;(drein)  ;	Zanja, drenaje;222
draw;drɔ;dibujar;1061
draw ;drɔ ;dibujar ;1550
drawer;(drooR)  ;	Cajón;223
drawing;ˈdrɔɪŋ;dibujo;1062
dress;(ing-ed)  (dres) ;	Vestido, traje;224
drink;(drinG-k)  ;	Bebida;225
drive;draɪv;conducir;1063
drive ;draɪv ;conducir ;1551
driver;(dráiver)  ;	Conductor, chofer;226
driving;(dráivinG)  ;	Manejando, conduciendo;227
drop;(drop)  ;	Gota;228
dry;(drier-drying)  (drai) ;	Seco, árido;229
dry ;draɪ ;seco ;1552
during;ˈdʊrɪŋ;durante;1064
during ;ˈdʊrɪŋ ;durante ;1553
dust;(dast)  ;	polvo;230
dy;dy;dy;1065
each;iʧ;cada;1066
each ;iʧ ;cada ;1554
ear;(iaR)  ;	Oreja;231
early;(éeRli)  ;	Temprano;232
ears;ɪrz;orejas;1067
earth;(éeRz)  ;	Tierra;233
earth ;ɜrθ ;tierra ;1555
ease ;iz ;facilidad ;1556
east;(iist)  ;	Este, oriental, del este;234
east ;ist ;este ;1557
easy;ˈizi;fácil;1068
eat;it;comer;1069
eat ;it ;comer ;1558
edge;(de@)  (de-y) ;	Orilla, filo, borde;235
edutation;(ediuquéiSHon)  ;	Educación;236
effect;(ing-ed)  (ifékt) ;	Efecto;237
egg;(eg)  ;	Huevo;238
eggs;ɛɡz;huevos;1070
eight;eɪt;ocho;1071
either;ˈiðər;cualquiera;1072
elastic;(ilástik)  ;	Elástico;239
electric;(ilék-trik)  ;	Eléctrico;240
elements;ˈɛləmənts;elementos;1073
else;ɛls;demás;1074
end;(ing-ed)  (end) ;	Fin, término, conclusión;241
end ;ɛnd ;fin ;1559
energy;ˈɛnərʤi;energía;1075
engine;(ényin)  ;	Máquina, motor;242
England;ˈɪŋɡlənd;Inglaterra;1076
English;ˈɪŋɡlɪʃ;Inglés;1077
enjoy;ɛnˈʤɔɪ;disfrutar;1078
enough;(ináf)  ;	bastante;243
enough ;ɪˈnʌf ;suficiente ;1560
entered;ˈɛntərd;ingresó;1079
entire;ɪnˈtaɪər;completo;1080
equal;(un)  (íicuAl) ;	Igual, semejante;244
equation;ɪˈkweɪʒən;ecuación;1081
error;(érrOr)  ;	Error, equivocación;245
especially;əˈspɛʃli;especialmente;1082
Europe;ˈjʊrəp;Europa;1083
even;(íivEn)  ;	Aún, no obstante, llano, liso, uniforme;246
even ;ˈivɪn ;incluso ;1561
evening;ˈivnɪŋ;noche;1084
event;(ivént)  ;	Acontecimiento, evento;247
ever;(éveR)  ;	Siempre, eternamente;248
every;(évEri)  ;	Cada, cada uno;249
every ;ˈɛvəri ;cada ;1562
everyone;ˈɛvriˌwʌn;todos;1085
everything;ˈɛvriˌθɪŋ;todo;1086
exactly;ɪɡˈzæktli;exactamente;1087
example;(ig-záampEL)  ;	Ejemplo ;250
example ;ɪɡˈzæmpəl ;ejemplo ;1563
except;ɪkˈsɛpt;excepto;1088
exchange;(exchéin@) (exchéin-y) ;	Cambio ;251
exciting;ɪkˈsaɪtɪŋ;emocionante;1089
exercise;ˈɛksərˌsaɪz;ejercicio;1090
existence;(egzistens)  ;	Existencia;252
expansion;(expan-Shon)  ;	Expansión;253
expect;ɪkˈspɛkt;esperar;1091
experience;(expíErien)  ;	Experiencia;254
experienced;ɪkˈspɪriənst;experimentado;1092
experiment;ɪkˈspɛrəmənt;experimento;1093
expert;(éxpeeRt)  ;	Experto;255
explain;ɪkˈspleɪn;explicar;1094
express;ɪkˈsprɛs;expresar;1095
eye;(ái)  ;	ojo;256
eye ;aɪ ;ojo ;1564
face;(facing-d)  (feis0 ; (feis0	Cara, rostro;257
face ;feɪs ;cara ;1565
fact;(fact)  ;	Hecho;258
fact ;fækt ;hecho ;1566
factories;ˈfæktəriz;fábricas;1096
factors;ˈfæktərz;factores;1097
fair;fɛr;justo;1098
fall;(fool)  ;	Caída, otoño, catarata;259
fall ;fɔl ;caída ;1567
false;(fools)  ;	Falso;260
family;(fámili)  ;	Familia;261
family ;ˈfæməli ;familia ;1568
famous;ˈfeɪməs;famoso;1099
far;(faaR)  ;	Lejos;262
far ;fɑr ;lejos ;1569
far ;fɑr ;lejos ;1570
farm;( er)  (faaRm);	Hacienda, estancia ;263
farm ;fɑrm ;granja ;1571
farmers;ˈfɑrmərz;agricultores;1100
farther;(fáaR-DzeR) (fáaRdeR) ;	Más lejos;264
farthest;(fáaR-Dzist) (fáaRdist) ;	El más lejos, lo más lejos ;265
fast;fæst;rápido;1101
fast ;fæst ;rápido ;1572
fat;(fat)  ;	Gordo, grueso, grasa;266
father;(fáaDZeR) (fáadeR) ;	Padre;267
fear;(ing-ed)  (fiAR) ;	Miedo, temor;268
feather;(féDZer) (féder) ;	Pluma, plumaje;269
february;(fébruari)  ;	Febrero;270
feeble;(fíibEl)  ;	Débil, ineficaz;271
feel;fil;sentir;1102
feel ;fil ;sentir ;1573
feeling;(fíiling)  ;	Sentimiento, sensación;272
feet;fit;pies;1103
feet ;fit ;pies ;1574
fell;fɛl;cayó;1104
felt;fɛlt;sintió;1105
female;(fíimeil)  ;	Femenino, hembra;273
fertile;(fáaRtail)  ;	Fértil, fecundo;274
few;fju;pocos;1106
few ;fju ;pocos ;1575
fiction;(fik-Shon)  ;	Ficción, cuento, imaginario;275
field;(fíild)  ;	Campo;276
fig;fɪɡ;higo;1107
fight;(faitq)  ;	Pelea, combate, batalla;277
figure;ˈfɪɡjər;cifra;1108
figure ;ˈfɪɡjər ;figura ;1576
file ;faɪl ;archivo ;1577
fill ;fɪl ;llenar ;1578
filled;fɪld;completado;1109
final ;ˈfaɪnəl ;final ;1579
finally;ˈfaɪnəli;finalmente;1110
find;faɪnd;encontrar;1111
find ;faɪnd ;encontrar ;1580
fine;faɪn;bien;1112
fine ;faɪn ;fino ;1581
finger;(finG-gueR)  ;	Dedo;278
fingers;ˈfɪŋɡərz;dedos;1113
finished;ˈfɪnɪʃt;finalizado;1114
fire;(firing-fired)  (fáiaR) ;	Incendio, fuego ;279
fire ;ˈfaɪər ;fuego ;1582
first;(feeRst)  ;	Primero;280
first ;fɜrst ;primero ;1583
fish;(er-ing-ed)  (fiSH) ;	Pescado, pez;281
fish ;fɪʃ ;pescado ;1584
fit;fɪt;adaptar;1115
five;faɪv;cinco;1116
five ;faɪv ;cinco ;1585
fixed;(un-) fikst) ;	Fijo, estable, permanente;282
flag;(flag)  ;	Bandera;283
flame;(fleim)  ;	Llama, llamarada;284
flat;(flat)  ;	Plano, llanura, liso;285
flight;(flait)  ;	Vuelo, fuga, huida;286
floor;(floor)  ;	Piso, suelo, pavimento;287
flow;floʊ;fluir;1117
flower;(ing-ed)  (fláueR) ;	Flor;288
flowers;ˈflaʊərz;flores;1118
fly;(flai)  ;	Mosca;289
fly ;flaɪ ;mosca ;1586
fold;(er-ing-ed)  (foUld) ;	Doblez, plegadura;290
follow;ˈfɑloʊ;seguir;1119
follow ;ˈfɑloʊ ;seguir ;1587
food;(fudd)  ;	Alimento;291
food ;fud ;comida ;1588
foolish;(fúuliSH)  ;	Tonto, tonta;292
foot;(fut)  ;	Pié;293
foot ;fʊt ;pie ;1589
for;(fooR)  ;	Por, para;294
for ;fɔr ;para ;1590
force;(forcing-d)  (fooRs) ;	Fuerza, violencia, rigor ;295
force ;fɔrs ;fuerza ;1591
forest;ˈfɔrəst;bosque;1120
fork;(fooRk)  ;	Tenedor;296
form;(er-ing-ed)  (fooRm) ;	Forma, figura;297
form ;fɔrm ;forma ;1592
forward;(fóor-uARd)  ;	Adelante, más allá;298
found;faʊnd;encontró;1121
four;fɔr;cuatro;1122
four ;fɔr ;cuatro ;1593
fowl;(faul)  ;	Ave;299
fraction;ˈfrækʃən;fracción;1123
frame;(freim)  ;	Marco, cuadro;300
France;fræns;Francia;1124
free;(fríi)  ;	Libre;301
free ;fri ;gratis ;1594
French;frɛnʧ;Francés;1125
frequent;(friicuent)  ;	Frecuente;302
fresh;frɛʃ;fresco;1126
friday;(frádEi)  ;	Viernes;303
friend;(frend)  ;	Amigo, amiga;304
friend ;frɛnd ;amigo ;1595
friends;frɛndz;amigos;1127
from;(from)  ;	De, desde;305
from ;frʌm ;de ;1596
front;(ing-ed)  (front) ;	Frente, fachada;306
fruit;(fruut)  ;	Fruta;307
full;(ful)  ;	Lleno, repleto, completo;308
full ;fʊl ;completo ;1597
fun;fʌn;divertido;1128
future;(fiúuchAR)  ;	Futuro;309
game;ɡeɪm;juego;1129
game ;ɡeɪm ;juego ;1598
garden;(er)  gáaRdEn) ;	Jardín;310
gas;ɡæs;gas;1130
gave;ɡeɪv;dio;1131
gave ;ɡeɪv ;dio ;1599
general;(yéneral)  ;	General;311
get;(guet)  ;	Conseguir, obtener, alcanzar, lograr, ganar;312
girl;(gueeRL)  ;	Niña;313
girl ;ɡɜrl ;chica ;1600
give;(guiv)  ;	Dar;314
giver;(guíveR)  ;	Dador, dopador, donante;315
glass;(glaas)  ;	Vaso, vidrio, anteojos;316
glove;(glav)  ;	Guante;317
go;(goU)  ;	Ir;318
goat;(goUt)  ;	Cabra;319
God;ɡɑd;Dios;1132
gold;(goUld)  ;	Oro;320
